county,covid_num
Baringo,29
Bomet,75
Bungoma,33
Busia,902
Elgeyo-marakwet,6
Embu,30
Garissa,177
Homa Bay,15
Isiolo,37
Kajiado,1609
Kakamega,50
Kericho,139
Kiambu,2184
Kilifi,131
Kirinyaga,36
Kisii,73
Kisumu,167
Kitui,36
Kwale,66
Laikipia,149
Lamu,31
Machakos,1604
Makueni,119
Mandera,28
Marsabit,15
Meru,68
Migori,340
Mombasa,2211
Murang'a,128
Nairobi,17512
Nakuru,667
Nandi,29
Narok,162
Nyamira,9
Nyandarua,33
Nyeri,199
Samburu,11
Siaya,64
Taita Taveta,56
Tana River,15
Tharaka-nithi,11
Trans Nzoia,24
Turkana,66
Uasin Gishu,367
Vihiga,19
Wajir,35
West Pokot,6
